Deutsch,Schwedisch
Hallo,Hej
Guten Tag,Goddag
Auf Wiedersehen,Adjö
Danke,Tack
Bitte,Varsågod
Ja,Ja
Nein,Nej
Entschuldigung,Ursäkta
Ich,Jag
Du,Du
Er,Han
Sie (weiblich),Hon
Es,Det
Wir,Vi
Ihr,Ni
Sie (plural),De
Wie geht es dir?,Hur mår du?
Gut,Bra
Schlecht,Dåligt
Ich verstehe,Jag förstår
Ich verstehe nicht,Jag förstår inte
Wo ist...?,Var är...?
Essen,Mat
Trinken,Dricka
Wasser,Vatten
Brot,Bröd
Kaffee,Kaffe
Tee,Te
Milch,Mjölk
Fleisch,Kött
Gemüse,Grönsaker
Obst,Frukt
Apfel,Äpple
Banane,Banan
Auto,Bil
Haus,Hus
Stadt,Stad
Land,Land
Buch,Bok
Zeitung,Tidning
Film,Film
Musik,Musik
Schule,Skola
Universität,Universitet
Arbeiten,Arbeta
Schlafen,Sova
Reisen,Resa
Urlaub,Semester
Familie,Familj
Freund,Vän
Freundin,Väninna
Liebe,Kärlek
Glück,Lycka
Geld,Pengar
Kaufen,Köpa
Verkaufen,Sälja
Hotel,Hotell
Krankenhaus,Sjukhus
Flughafen,Flygplats
Zug,Tåg
Bus,Buss
Flugzeug,Flygplan
Schiff,Skepp
Strand,Strand
Berg,Berg
See,Sjö
Himmel,Himmel
Sonne,Sol
Mond,Måne
Stern,Stjärna
Regen,Regn
Schnee,Snö
Wind,Vind
Hitze,Värme
Kalt,Kallt
Sommer,Sommar
Winter,Vinter
Frühling,Vår
Herbst,Höst
Montag,Måndag
Dienstag,Tisdag
Mittwoch,Onsdag
Donnerstag,Torsdag
Freitag,Fredag
Samstag,Lördag
Sonntag,Söndag
Januar,Januari
Februar,Februari
März,Mars
April,April
Mai,Maj
Juni,Juni
Juli,Juli
August,Augusti
September,September
Oktober,Oktober
November,November
Dezember,December
Zahl,Nummer
Monat,månad