Country,Population,Area,MGS,Langs
Algeria,4.41,6.38,6.6,18
Angola,4.01,6.1,6.22,42
Australia,4.24,6.89,6,234
Bangladesh,5.07,5.16,7.4,37
Benin,3.69,5.05,7.14,52
Bolivia,3.88,6.04,6.92,38
Botswana,3.13,5.76,4.6,27
Brazil,5.19,6.93,9.71,209
Burkina Faso,3.97,5.44,5.17,75
CAR,3.5,5.79,8.08,94
Cambodia,3.93,5.26,8.44,18
Cameroon,4.09,5.68,9.17,275
Chad,3.76,6.11,4,126
Colombia,4.53,6.06,11.37,79
Congo,3.37,5.53,9.6,60
Costa Rica,3.49,4.71,8.92,10
Cote d'Ivoire,4.1,5.51,8.67,75
Cuba,4.03,5.04,7.46,1
Ecuador,4.04,5.45,8.14,22
Egypt,4.74,6,0.89,11
Ethiopia,4.73,6.09,7.28,112
French Guiana,2.01,4.95,10.4,11
Gabon,3.08,5.43,8.79,40
Ghana,4.19,5.38,8.79,73
Guatemala,3.98,5.04,9.31,52
Guinea,3.77,5.39,7.38,29
Guyana,2.9,5.33,12,14
Honduras,3.72,5.05,8.54,9
India,5.93,6.52,5.32,405
Indonesia,5.27,6.28,10.67,701
Kenya,4.41,5.76,7.26,58
Laos,3.63,5.37,7.14,93
Liberia,3.43,5.05,10.62,34
Libya,3.67,6.25,2.43,13
Madagascar,4.06,5.77,7.33,4
Malawi,3.93,5.07,5.8,14
Malaysia,4.26,5.52,11.92,140
Mali,3.98,6.09,3.59,31
Mauritania,3.31,6.01,0.75,8
Mexico,4.94,6.29,5.84,243
Mozambique,4.21,5.9,6.07,36
Myanmar,4.63,5.83,6.93,105
Namibia,3.26,5.92,2.5,21
Nepal,4.29,5.15,6.39,102
Nicaragua,3.6,5.11,8.13,7
Niger,3.9,6.1,2.4,21
Nigeria,5.05,5.97,7,427
Oman,3.19,5.33,0,8
Panama,3.39,4.88,9.2,13
Papua New Guinea,3.58,5.67,10.88,862
Paraguay,3.64,5.61,10.25,21
Peru,4.34,6.11,2.65,91
Philippines,4.8,5.48,10.34,168
Saudi Arabia,4.17,6.33,0.4,8
Senegal,3.88,5.29,3.58,42
Sierra Leone,3.63,4.86,8.22,23
Solomon Islands,3.52,4.46,12,66
Somalia,3.89,5.8,3,14
South Africa,4.56,6.09,6.05,32
Sri Lanka,4.24,4.82,9.59,7
Sudan,4.41,6.4,4.02,134
Suriname,2.63,5.21,12,17
Tanzania,4.45,5.98,7.02,131
Thailand,4.75,5.71,8.04,82
Togo,3.56,4.75,7.91,43
UAE,3.21,4.92,0.83,9
Uganda,4.29,5.37,10.14,43
Vanuatu,2.21,4.09,12,111
Venezuela,4.31,5.96,7.98,40
Vietnam,4.83,5.52,8.8,88
Yemen,4.09,5.72,0,6
Zaire,4.56,6.37,9.44,219
Zambia,3.94,5.88,5.43,38
Zimbabwe,4,5.59,5.29,18